Hotel Name,Correlation (Winter),Correlation (Spring),Correlation (Summer),Correlation (Autumn),Correlation
Baymont Inn & Suites Kissimmee,Data not enough,-0.5098618799548019,0.5098618799548019,Data not enough,Not enough data
Baymont Inn & Suites Pueblo,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Baymont Inn & Suites Springfield,Data not enough,0.20167380783616298,-0.3094634667783538,0.08800988798566446,Not enough data
Baymont Inn & Suites Tampa Near Busch Gardens / Usf,0.32816659207115023,0.10440011254945368,-0.40204117596602484,Data not enough,0.19199810801997413
Baymont Inn & Suites Tampa near Busch Gardens / USF,-0.22805147464292086,0.08532949337662046,0.05741613108188243,0.19705316767691472,Not enough data
Baymont Inn & Suites-holland,Data not enough,Data not enough,-1.0,1.0,1.0
Baymont Inn Suites - Tullahoma,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Baymont Inn Suites Bowling Green,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Baymont Inn Suites Grand Rapids SW/Byron Center,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Baymont Inn Suites Normal Bloomington,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Beach Aire Motel,Data not enough,-0.9999999999999999,0.9999999999999999,Data not enough,Not enough data
Beach Comber Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Beach House Inn,Data not enough,0.6380869671512086,-0.6380869671512085,Data not enough,Not enough data
Beach Retreat & Lodge at Tahoe,0.09212353514071231,0.33056411812807707,-0.42969049662937464,Data not enough,-0.0817762192755636
Beachcomber By The Sea,Data not enough,0.6831967742938722,Data not enough,-0.6831967742938722,Not enough data
Beacon Hill Hotel and Bistro,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Bear Creek Lodge,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Beavers Bend Lodging,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Bed and Breakfast Inn Seattle,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Bedtime Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Behind The Fence Bed & Breakfast Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Bel-Aire Cove Motel,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Bendel Executive Suites,Data not enough,0.9999999999999999,-0.9999999999999999,Data not enough,Not enough data
Berry Pond Motel,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
