Unnamed: 0,Hotel Name,Province,Postal,Category,SubCategory,Compound Sentiment,Total Reviews,Average Rating
0,1906 Lodge At Coronado Beach,CA,92118,"Accommodations & Lodging,  Hotel & Motel reservations,  Resorts & Vacation Cottages,  Resorts,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,5
1,250 Main Hotel,ME,4841,"Hotel & Motel reservations,  Motel,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,5
2,AC Hotel Chicago Downtown,IL,60611,Hotel,Accommodation & Food Services,1,11,4
3,AC Hotel Miami Beach,FL,33140,Hotel,Accommodation & Food Services,1,1,5
4,AC Hotel by Marriott Boston Downtown,MA,2118,Hotel,Accommodation & Food Services,0,1,5
5,ARIA Resort Casino,NV,89158,"Casino,  Hotel,  Resorts,  Resort",Accommodation & Food Services,1,139,4
6,Acadia Suites,ME,4609,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,2,5
7,Ace Hotel Chicago,IL,60611,Hotel,Accommodation & Food Services,1,4,5
8,Ace Hotel New Orleans,LA,70130-3511,"Hotel Central Business District,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,3,3
9,Admiral Hotel,TX,76006,"Hotel & Motel,  Hotel,  Hotel North Arlington",Accommodation & Food Services,-0,1,2
10,Admiral's Ocean Inn,ME,4915,"Lodging,  Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,0,2,1
11,Alakai Hotel & Suites,WI,53965,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,1,5
12,Alamo Motel,CA,93440,"Motel,  Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,0,1,3
13,Algoma Beach Motel,WI,54201,"Business Hotel,  Resorts,  Family-friendly Hotel,  Lodging,  Motel,  Hotel & Motel,  Boutique Hotel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,1,4
14,Alicia's Eagle Rock Lodge,AK,99611,"Travel and Tourism,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,0,1,3
15,Aloft Arundel Mills,MD,21076,"Travel agencies and bureaus,  Hotel & Motel Management,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,6,4
16,Aloft Bolingbrook,IL,60440,"Lodging,  Travel agencies and bureaus,  Hotel & Motel,  Hotel",Accommodation & Food Services,0,1,5
17,Aloft Buffalo Airport,NY,14225,"Travel and Tourism,  Hotel & Motel reservations,  Lodging,  Hotel & Motel,  Airports,  Hotel",Accommodation & Food Services,1,5,4
18,Aloft Cleveland Downtown,OH,44113,"Real estate,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,3,4
19,Aloft Denver Downtown,CO,80202,"Lodging,  Hotel Central Business District,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,5
20,Aloft Detroit at The David Whitney,MI,48226,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,4
21,Aloft Durham Downtown,NC,27701,"Travel and Tourism,  Hotel Bull Durham,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,4
22,Aloft Greenville Downtown,SC,29601,"Lodging,  Hotel & Motel,  Hotel,  Hotel Downtown Greenville",Accommodation & Food Services,1,1,5
23,Aloft Houston by the Galleria,TX,77056,"Hotel Uptown-Galleria,  Hotel & Motel reservations,  Tourist Hotel,  Ski Resorts,  Business Hotel,  Family-friendly Hotel,  Resorts,  Luxury Hotel,  Lodging,  Hotel & Motel,  Boutique Hotel,  Hotel,  Weekend Getaway Hotel",Accommodation & Food Services,1,1,4
24,Aloft Jacksonville Tapestry Park,FL,32246,"Hotel,  Lodging,  Hotel Bar,  Hotel & Motel,  Cocktail Bar,  Bar",Accommodation & Food Services,1,5,5
25,Aloft New Orleans Downtown,LA,70112-1701,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,39,4
26,Aloft Philadelphia Downtown,PA,19107-6523,"Hotel & Motel Consultants,  Bar and grill restaurants,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,16,5
27,Aloft Sarasota,FL,34236,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,5
28,Alpine Inn,IL,61108,"Hotel & Motel,  Hotel and Resort,  Hotel",Accommodation & Food Services,1,3,4
29,Alpine Motel,VA,24210,"Travel and Tourism,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,3,4
30,Alpine River Suites,GA,30545,"Lodging,  Hotel",Accommodation & Food Services,1,1,5
31,Ambassador Hotel,WI,53233,"Tourist Hotel,  Budget Hotel,  Business Hotel,  Family-friendly Hotel,  Travel,  Banquet facilities,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,5,3
32,"Ambassador Hotel Oklahoma City, Autograph Collection",OK,73103,"Hotel & Motel,  Hotel,  Hotel and Resort",Accommodation & Food Services,1,6,4
33,America's Best Inn Suites,GA,30093,"Hotel & Motel,  Hotel",Accommodation & Food Services,-1,1,1
34,America's Best Value Inn,KS,67401,"Lodging,  Hotel,  Motel",Accommodation & Food Services,-1,1,1
35,America's Best Value Inn,PA,15301,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,-1,4,2
36,America's Best Value Inn Suites,TN,38474,"Motel,  Lodging,  Hotel",Accommodation & Food Services,1,1,3
37,American Inn,NV,89801,"Hotel & Motel consultants,  Lodging,  Motel,  Hotel & Motel,  Bed and Breakfast and Inns,  Hotel",Accommodation & Food Services,1,1,4
38,Americana Hotel,VA,22202,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,6,4
43,Americas Best Value Inn,MI,49938,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,3,4
42,Americas Best Value Inn,ME,4210,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,4,3
41,Americas Best Value Inn,KY,42503,"Motel,  Hotel",Accommodation & Food Services,-1,2,1
40,Americas Best Value Inn,IN,46637-3313,"Travel and Tourism,  Lodging,  Hotel,  Motel",Accommodation & Food Services,1,3,4
39,Americas Best Value Inn,CT,6455,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,1,5
44,Americas Best Value Inn & Suites Canon City,CO,81212,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,4
45,Americas Best Value Inn & Suites-eureka,CA,95501,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,5
46,Americas Best Value Inn - Charlotte,MI,48813,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,3,4
47,Americas Best Value Inn - Corpus Christi/Port Aransas,TX,78373,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,1,4
48,Americas Best Value Inn - Executive Suite Airport,AK,99517,Hotel,Accommodation & Food Services,1,10,3
49,Americas Best Value Inn - Greeley/Evans,CO,80620,"Lodging,  Hotel,  Motel",Accommodation & Food Services,0,1,1
50,Americas Best Value Inn - Medical Center / Lubbock,TX,79410,"Lodging,  Hotel,  Motel",Accommodation & Food Services,-1,1,1
51,Americas Best Value Inn Albert Lea,MN,56007,"Motel,  Lodging,  Hotel",Accommodation & Food Services,1,1,3
52,Americas Best Value Inn Bighorn Lodge,CO,80447,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,1,4
53,Americas Best Value Inn Clear Lake,IA,50428,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,2,2
54,Americas Best Value Inn Grand Junction,CO,81506,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,1,4
55,Americas Best Value Inn Jonesville,NC,28642,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,2,3
56,Americas Best Value Inn Las Vegas,NV,89109,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,-1,1,1
57,Americas Best Value Inn Mackinaw City,MI,49701,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,2,4
58,Americas Best Value Inn New Philadelphia,OH,44663,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,1,3
59,Americas Best Value Inn Pryor,OK,74361,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,4
60,Americas Best Value Inn Suburban Motel,IA,50536,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,1,4
61,Americas Best Value Inn Suites,IL,62274,"Travel & Transport,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,3
62,Americas Best Value Inn Suites Carrollton,GA,30117,"Lodging,  Hotel",Accommodation & Food Services,1,2,4
63,Americas Best Value Inn Suites Grand Island,NE,68801,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,1,5
64,Americas Best Value Inn Suites-Abilene Mall,TX,79605,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,4,4
65,Americas Best Value Inn Texarkana,AR,71854,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,2,4
66,Americas Best Value Inn-arkansas City,KS,67005,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,4
67,Americas Best Value Inn-corpus Christi North/airport,TX,78409,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,2,2
68,Americas Best Value Inn-east Syracuse,NY,13057,"Hotel & Motel reservations,  Motel,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,3,4
69,Americas Best Value Inn-north Capital,NC,27604,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,3
70,Americas Best Value Inn-rialto,CA,92376,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,-1,1,1
71,Americas Best Value Inn-weatherford,OK,73096,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,1
72,Anglers Inn,ID,83420,"Lodging,  Hotel & Motel,  Hotel,  Bed and Breakfast and Inns",Accommodation & Food Services,-0,1,2
73,Apple Tree Inn,IA,50125,"Hotel & Motel,  Hotel",Accommodation & Food Services,0,1,3
74,Appletree Inn,KS,67301,"Bed Breakfasts,  Hotel-Apartment,  Apartment Hotel,  Bed & Breakfast & Inns,  Building,  Lodging,  Motel,  Hotel & Motel,  Extended Stay Hotel,  Inns,  Hotel",Accommodation & Food Services,0,1,4
75,Aqua Beach Inn,SC,29577,Hotel,Accommodation & Food Services,1,13,4
76,Aqua Soleil Hotel And Mineral Water Spa,CA,92240,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,4
77,Aqua Waikiki Pearl,HI,96815,"Lodging,  Hotel & Motel,  Hotel,  Resorts",Accommodation & Food Services,1,5,4
78,Argosy Casino Hotel Spa,MO,64150,"Restaurants,  Day Spas,  Casino,  Hotel",Accommodation & Food Services,1,1,3
79,Arizona Inn Suites,AZ,85364,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,1,5
80,Arizona Mountain Inn & Cabins,AZ,86005,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,5,4
81,Arrowhead Motel,TX,78611,"Lodging,  Hotel,  Motel",Accommodation & Food Services,0,1,1
82,Atlantic Cove,FL,32176,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,4,4
83,Atlantis Oceanfront Inn,MA,1930,"Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,1,8,4
84,Atlas Motel,WY,82001,"Motel,  Hotel & Motel,  Lodging,  Hotel",Accommodation & Food Services,0,2,3
85,Auburn Travelodge Inn & Suites,WA,98001,"Budget Hotel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,4
86,Austin Motel,TX,78704,"Tourist Hotel,  Budget Hotel,  Motel Bouldin Creek,  Motel,  Hotel & Motel,  Boutique Hotel,  Hotel",Accommodation & Food Services,1,2,4
87,Austria Haus Hotel,CO,81657,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,9,5
88,Avalon Hotel & Conference Center,PA,16501,"Karaoke,  Restaurants,  Hotel & Motel,  American restaurants,  Hotel",Accommodation & Food Services,-1,6,3
89,Aviator Hotel Anchorage,AK,99501,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,1,3
90,Aztec Hotel,CA,91016,"Hotel & Motel,  Bar,  Hotel",Accommodation & Food Services,-1,2,1
91,BEST WESTERN Garden Inn,CA,95404,"Budget Hotel,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,15,4
92,BEST WESTERN PLUS Walla Walla Suites Inn,WA,99362,"Hotel & Motel reservations,  Corporate Housing,  Convention services and facilities,  Lodging,  Hotel & Motel,  Meeting facilities,  Hotel",Accommodation & Food Services,1,2,5
93,BEST WESTERN Westfield Inn,NJ,7090,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,3,4
94,Baker's Sunset Bay Resort,WI,53965,"Lodging,  Hotel & Motel,  Hotel,  Resorts",Accommodation & Food Services,1,15,4
95,Ballinger Inn,TX,76821,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,1,1
96,Bancroft Hotel,CA,94704,"Hotel Southside,  Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,0,1,4
97,Bar Harbor Motel,ME,4609,"Travel and Tourism,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,8,5
98,Bardessono,CA,94599,"Hotel,  Hotel & Motel reservations,  Restaurants,  Hotel and Bar,  Lodging,  Hotel & Motel,  Bar",Accommodation & Food Services,1,6,5
99,Barn Motor Inn,WA,99350,Hotel,Accommodation & Food Services,-0,3,2
100,Basecamp Hotel,CA,96150,"Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,1,4,4
101,Bass Harbor Cottages and Country Inn,ME,4653,"Hotel,  Cottages",Accommodation & Food Services,1,1,4
102,Baton Rouge Marriott,LA,70808,"Hotel Mid City South,  Hotel",Accommodation & Food Services,1,3,3
103,Bay Pointe Inn Restaurant,MI,49344,"Restaurants,  Resorts,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,4
104,Baymont Inn & Suites Boone,IA,50036,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,4,2
105,Baymont Inn & Suites Bowling Green,KY,42104,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,6,3
106,Baymont Inn & Suites Bridgeport/frankenmuth,MI,48722,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,4,3
107,Baymont Inn & Suites Celebration,FL,34747,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,32,4
108,Baymont Inn & Suites Crestview,FL,32536,"Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,-0,1,4
109,Baymont Inn & Suites Goodlettsville,TN,37072,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,4,4
110,Baymont Inn & Suites Kissimmee,FL,34741,"Hotel & Motel reservations,  Budget Hotel,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,4,3
111,Baymont Inn & Suites Pueblo,CO,81008-1033,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,5,4
112,Baymont Inn & Suites Springfield,OH,45505,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,5,3
113,Baymont Inn & Suites Tampa near Busch Gardens / USF,FL,33612,"Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,1,14,3
114,Baymont Inn & Suites-holland,MI,49423,"Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,1,2,2
115,Baymont Inn Suites - Tullahoma,TN,37388,Hotel,Accommodation & Food Services,1,1,5
116,Baymont Inn Suites Grand Rapids SW/Byron Center,MI,49315,"Tourist Hotel,  Budget Hotel,  Business Hotel,  Family-friendly Hotel,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,-0,1,3
117,Baymont Inn Suites Normal Bloomington,IL,61761,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,0,1,1
118,Beach Comber Inn,CA,93449,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Bed and Breakfast and Inns,  Hotel",Accommodation & Food Services,1,1,5
119,Beacon Hill Hotel and Bistro,MA,02114-4603,"Hotel,  Tourist Hotel,  Business Hotel,  Hotel & Motel,  Boutique Hotel",Accommodation & Food Services,1,1,4
120,Bear Creek Lodge,WV,24927,"Motel,  Lodging,  Hotel,  Resorts",Accommodation & Food Services,-0,1,4
121,Beavers Bend Lodging,OK,74728,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,1,5
122,Bed and Breakfast Inn Seattle,WA,98122-2812,Hotel,Accommodation & Food Services,1,1,5
123,Behind The Fence Bed & Breakfast Inn,FL,33511,"Bed and breakfast,   etc.,  Hotel & Motel,   inns,  Hotel",Accommodation & Food Services,1,1,5
124,Bendel Executive Suites,LA,70503,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,5
125,Berry Pond Motel,NH,3254,"Moultonborough Hotel,  Motel,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,5
126,Best Western,SC,29565,"Hotel & Motel mgmt.,  Hotel & Motel,  Hotel & Motel reservations",Accommodation & Food Services,1,2,3
127,Best Western Adena Inn,OH,45601,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,3
128,Best Western Adirondack Inn,NY,12946,"Event Planning,  Corporate Housing,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,3,4
129,Best Western Airport Inn,LA,71202,"Event Planning,  Corporate Housing,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,4,4
130,Best Western Ambassador Inn & Suites,WI,53965,"Lodging,  Hotel & Motel,  Hotel,  Hotel & Motel mgmt.",Accommodation & Food Services,1,11,4
131,Best Western Appleton Inn,WI,54914,"Hotel & Motel mgmt.,  Hotel & Motel",Accommodation & Food Services,-0,3,4
132,Best Western Beach Dunes Inn,CA,93933,"Hotel & Motel mgmt.,  Hotel & Motel,  Hotel,  Lodging",Accommodation & Food Services,1,1,1
133,Best Western Beacon Inn,MI,49417,"Corporate Housing,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,5
134,Best Western Black Hills Lodge,SD,57783,"Budget Hotel,  Business Hotel,  Family-friendly Hotel,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,5,4
135,Best Western Blackwell Inn,OK,74631,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,1,5
136,Best Western Canal Winchester Inn - Columbus South East,OH,43110,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,5,4
137,Best Western Cantebury Inn & Suites,IA,52241,"Restaurants,  Hotel & Motel mgmt.,  Lodging,  Hotel & Motel,  Motel,  Hotel",Accommodation & Food Services,-1,2,2
138,Best Western Capital Beltway,MD,20706,"Tourist Hotel,  Budget Hotel,  Corporate Housing,  Business Hotel,  Hotel Lanham-Seabrook,  Family-friendly Hotel,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,62,3
139,Best Western Casino Inn,LA,70668,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,0,1,3
140,Best Western Central Inn,GA,31406,"Budget Hotel,  Corporate Housing,  Restaurants,  Business Hotel,  Family-friendly Hotel,  Hotel & Motel mgmt.,  Lodging,  Hotel & Motel,  American restaurants,  Hotel",Accommodation & Food Services,1,6,4
141,Best Western Continental Inn,CA,92021-5618,Hotel,Accommodation & Food Services,1,11,3
142,Best Western Cooper's Mill Hotel,IA,52405,Hotel,Accommodation & Food Services,1,8,4
143,Best Western Cordelia Inn,CA,94534,"Corporate Housing,  Budget Hotel,  Business Hotel,  Spa Resorts,  Family-friendly Hotel,  Health resorts,  Hotel & Motel mgmt.,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,5,4
144,Best Western Country Inn,CA,92590,"Hotel & Motel,  Hotel,  Event Planning",Accommodation & Food Services,1,6,3
145,Best Western Courtesy Inn,CA,92802-1804,Hotel,Accommodation & Food Services,1,9,4
146,Best Western Dallas Inn & Suites,OR,97338,"Hotel & Motel mgmt.,  Hotel & Motel,  Hotel,  Lodging",Accommodation & Food Services,1,1,5
147,Best Western Danville Inn,PA,17821,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,7,4
148,Best Western Dartmouth Inn,MA,2747,"Lodging,  Hotel & Motel mgmt.,  Hotel & Motel,  Motel,  Hotel",Accommodation & Food Services,1,3,5
149,Best Western Dayton,TN,37321,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,6,4
150,Best Western Desert Inn,AZ,85546,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,2,4
151,Best Western Designer Inn & Suites,IL,61036,"Hotel & Motel,  Hotel,  Travel & Transport",Accommodation & Food Services,1,1,4
152,Best Western Dunkirk Fredonia Inn,NY,14048,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,6,4
153,Best Western Dutch Valley Inn,OH,44663,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,4,5
154,Best Western Empire Towers,SD,57106,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,6,4
155,Best Western Envoy Inn,NJ,08401-8011,"Lodging,  Hotel",Accommodation & Food Services,1,19,3
156,Best Western Executive Inn,OH,43123,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,5
157,Best Western Executive Inn,TX,75672,"Corporate Housing,  Lodging,  Hotel,  Event Planning",Accommodation & Food Services,1,2,4
158,Best Western Executive Inn Suites,MI,49548,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,4
159,Best Western Fort Lauderdale Airport/Cruise Port,FL,33315,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,19,4
160,Best Western Fostoria Inn Suites,OH,44830,"Lodging,  Hotel",Accommodation & Food Services,1,2,4
161,Best Western Gardens Hotel At Joshua Tree National Park,CA,92277,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,5,5
162,Best Western Governors Inn & Suites,KS,67216-1771,"Lodging,  Hotel",Accommodation & Food Services,1,3,4
163,Best Western Granbury Inn Suites,TX,76048,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,3,3
164,Best Western Grandma's Feather Bed,AK,99801,"Lodging,  Hotel",Accommodation & Food Services,1,4,5
165,Best Western Greentree Inn & Suites,OK,73160,"Corporate Housing,  Budget Hotel,  Lodging,  Hotel & Motel mgmt.,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,5
166,Best Western Hampton Coliseum Inn,VA,23666,"Tourist Hotel,  Budget Hotel,  Corporate Housing,  Business Hotel,  Family-friendly Hotel,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,4
167,Best Western Harker Heights,TX,76548,"Lodging,  Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,-0,1,3
168,Best Western Hilliard Inn Suites,OH,43026,"Lodging,  Hotel",Accommodation & Food Services,-1,2,2
169,Best Western Inn,SC,29501,"Lodging,  Hotel & Motel,  Hotel,  Travel and Tourism",Accommodation & Food Services,1,2,5
170,Best Western Inn & Suites At Discovery Kingdom,CA,94589,Hotel,Accommodation & Food Services,1,7,3
171,Best Western Inn At Palm Springs,CA,92264,"Hotel & Motel mgmt.,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,4
172,Best Western Inn Florence,KY,41042,"Lodging,  Hotel",Accommodation & Food Services,1,1,4
173,Best Western Inn Suites,OR,97914,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,5
174,Best Western Inn of Chandler,AZ,85225,"Travel and Tourism,  Corporate Housing,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,4
175,Best Western Inn of Nacogdoches,TX,75964,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,4
176,Best Western Intracoastal Inn,FL,33477,"Hotel & Motel mgmt.,  Hotel & Motel,  Hotel,  Lodging",Accommodation & Food Services,1,7,5
177,Best Western Kelly Inn,ND,58701,"Lodging,  Hotel",Accommodation & Food Services,1,1,5
178,Best Western Kennesaw Inn,GA,30144,Hotel,Accommodation & Food Services,1,4,4
179,Best Western Kenosha Inn,OK,74012,"Travel and Tourism,  Hotel & Motel,  Hotel & Motel mgmt.,  Hotel",Accommodation & Food Services,1,2,4
180,Best Western Kings Quarters,VA,23047,Hotel,Accommodation & Food Services,1,7,3
181,Best Western Lake Conroe Inn,TX,77356,"Corporate Housing,  Hotel & Motel,  Hotel,  Event Planning",Accommodation & Food Services,1,4,4
182,Best Western Lake Okeechobee,FL,34974,"Hotel & Motel reservations,  Budget Hotel,  Corporate Housing,  Business Hotel,  Family-friendly Hotel,  Lodging,  Hotel & Motel mgmt.,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,3
183,Best Western Luxury Inn,CA,95376,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,10,3
184,Best Western Manhattan Inn,KS,66502,"Travel and Tourism,  Corporate Housing,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,3,3
185,Best Western Marble Falls Inn,TX,78654,"Corporate Housing,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,0,1,4
186,Best Western Markland Hotel,CA,91755,"Hotel & Motel reservations,  Hotel & Motel mgmt.,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,-0,2,4
187,Best Western Mcdonough Inn & Suites,GA,30253,"Travel and Tourism,  Hotel & Motel reservations,  Hotel & Motel mgmt.,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,5
188,Best Western Merrimack Valley,MA,1832,"Travel and Tourism,  Corporate Housing,  Hotel & Motel mgmt.,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,6,3
189,Best Western Mesquite Inn,NV,89027,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,8,4
190,Best Western Mt. Pleasant Inn,IA,52641,"Corporate Housing,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,3,4
191,Best Western Mt. Vernon Inn,MO,65712,"Lodging,  Hotel",Accommodation & Food Services,0,1,5
192,Best Western Mulberry Hotel,FL,33860,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,2,4
193,Best Western Of Alexandria Inn & Suites & Conference Center,LA,71303,"Hotel & Motel,  Hotel",Accommodation & Food Services,-1,1,3
194,Best Western Of Hope,AR,71801,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,1,5
195,Best Western Of Walterboro,SC,29488,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,10,4
196,Best Western Old Mill Inn,NE,68154,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,5,3
197,Best Western Orange Plaza,CA,92868,"Hotel & Motel Reservations,  Accommodation Reservations,  Accommodations & Lodging,  Hotel Representatives,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,4
198,Best Western Orchard Inn,CA,95482,"Lodging,  Hotel",Accommodation & Food Services,1,5,5
199,Best Western Palo Duro Canyon Inn Suites,TX,79015,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,9,4
