Unnamed: 0,Hotel Name,Province,Postal,Category,SubCategory,Compound Sentiment,Total Reviews,Average Rating
1535,Rodeway Inn & Suites Boulder Broker,CO,80303,"Budget Hotel,  Business Hotel,  Family-friendly Hotel,  Travel & Transport,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,3
1536,Rodeway Inn Boardwalk,NJ,08401-7318,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,-0,2,2
1537,Rodeway Inn Oceanview,NJ,08401-6231,"Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,5,2
1538,Rodeway Inn San Diego Near Qualcomm Stadium,CA,92120-4403,Hotel,Accommodation & Food Services,1,4,3
1539,Rodeway Inn Suites,AZ,86004,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,3,3
1540,Rodeway Inn Suites,KS,66061,"Lodging,  Hotel,  Motel",Accommodation & Food Services,-1,6,2
1541,Rodeway Inn Suites,OR,97367,"Lodging,  Hotel,  Motel",Accommodation & Food Services,-1,1,3
1542,Rodeway Inn Suites Downtowner-Rte 66,AZ,86046,"Hotel & Motel reservations,  Motel,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,6,4
1543,Room Mate Lord Balfour,FL,33139,Hotel,Accommodation & Food Services,1,65,4
1544,Roscoe Motor Inn,OH,43812,"Lodging,  Motel,  Hotel & Motel,  Bed and Breakfast and Inns,  Hotel",Accommodation & Food Services,1,1,2
1545,Royal Anchor Resort,ME,4064,"Lodging,  Hotel,  Resorts,  Motel",Accommodation & Food Services,1,4,4
1546,Royal Motel,LA,70769,"Hotel & Motel,  Hotel",Accommodation & Food Services,-1,2,1
1547,Royal Palm Motel,GA,31328,"Motel,  Hotel & Motel,  Hotel,  Lodging",Accommodation & Food Services,1,1,5
1548,Royal Resort,NV,89109-2010,"Hotel-Apartment,  Motel,  Hotel,  Resorts",Accommodation & Food Services,1,2,4
1549,Royal Suite Lodge,AK,99503-5679,"Hotel & Motel,  Motel,  Lodging,  Hotel",Accommodation & Food Services,1,1,1
1550,Sailor Jack Ocean Front Motel,OR,97367,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,4,4
1551,Salem Motel,IN,47167,"Wholesale Motel Hotel Equipment,  Hotel,  Motel & Hotel Consultants,  Motel,  Lodging,  Hotel & Motel,  Wholesale Motel & Hotel Equipment,  Motel Hotel Consultants","Wholesale Trade,Accommodation & Food Services",1,2,3
1552,San Francisco Marriott Marquis,CA,94103,Hotel,Accommodation & Food Services,1,9,5
1553,San Ramon Marriott,CA,94583,"Hotel,  Hotel & Motel reservations,  Banquet facilities,  Hotel & Motel,  Event Space,  Gym",Accommodation & Food Services,1,5,4
1554,Sands Resort,WA,98569,"Lodging,  Hotel,  Resorts,  Motel",Accommodation & Food Services,0,1,1
1555,Sandy Neck Motel,MA,02537-1472,Hotel,Accommodation & Food Services,1,1,4
1556,Sanibel Inn,FL,33957,"Hotel & Motel reservations,  Tourist Hotel,  Budget Hotel,  Business Hotel,  Resort,  Resorts,  Family-friendly Hotel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,8,4
1557,Savanna Inn & Suites,IL,61074,"Lodging,  Hotel & Motel,  Hotel,  Travel & Transport",Accommodation & Food Services,-0,1,5
1558,Schleichers Landing,WI,53806,"Campgrounds,  Resorts,  travel,  Hotel & Motel,  Campground,  Hotel",Accommodation & Food Services,1,1,1
1559,Schooner Creek Resort,MO,65686,"Lodging,  Hotel,  Resorts",Accommodation & Food Services,1,1,2
1560,Schweich's Hotel Bar & Restaurant,MN,55946,"Hotel & Motel reservations,  Restaurants,  Lodging,  Hotel & Motel,  Restaurant,  Hotel",Accommodation & Food Services,1,2,4
1561,Scottish Inn,TN,38305-4922,"Budget Hotel,  Hotel & Motel,  Hotel",Accommodation & Food Services,0,1,1
1562,Scotty's Motel,MI,49862,"Hotel & Motel,  Motel,  Lodging,  Hotel",Accommodation & Food Services,1,2,3
1563,Sea Captain Resort On The Bay,FL,33767,"Hotel & Motel,  Hotel,  Resorts",Accommodation & Food Services,1,4,4
1564,Sea Shore Motel,CA,90405,"Motel,  Lodging,  Hotel",Accommodation & Food Services,1,9,5
1565,Sea-Aire Motel,FL,32931,"Motel,  Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,1,2,4
1566,Seacrest Oceanfront Hotel,CA,93449,"Hotel & Motel reservations,  Resorts,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,41,5
1567,Seaside Inn,SC,29451,"Hotel and General Travel,  Tourist Hotel,  Budget Hotel,  Business Hotel,  Family-friendly Hotel,  General Travel,  Resorts,  Hotel & Motel,  Hotel",Accommodation & Food Services,-1,2,2
1568,Sense Beach House,FL,33139,"Hotel,  Guest House",Accommodation & Food Services,1,35,4
1569,Seven Gables Inn,MO,63105,"Restaurants,  Hotel & Motel,  American restaurants,  Hotel,  Caterers",Accommodation & Food Services,1,4,5
1570,Shamrock Country Inn,TX,79079,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,5
1571,Shawnee Motel,PA,15559,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,3,4
1572,Sheraton Kansas City Hotel at Crown Center,MO,64108,Hotel,Accommodation & Food Services,1,45,4
1573,Sheraton Portland Airport Hotel,OR,97220,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,9,4
1574,Shilo Inn Suites - Coeur d'Alene,ID,83814-9338,"Resorts,  Lodging,   Motel,   and Building,  Hotel",Accommodation & Food Services,1,1,4
1575,Shore Hotel,CA,90401,"Hotel & Motel reservations,  Tourist Hotel,  Budget Hotel,  Family-Friendly Hotel,  Business Hotel,  Beach Hotel,  Resort,  Luxury Hotel,  Hotel & Motel,  Hotel,  Weekend Getaway Hotel",Accommodation & Food Services,1,32,4
1576,Siena Suites,NV,89122,"Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,5,4
1577,Siesta Motel,CT,6111,"Hotel-Apartment,  Motel,  Lodging,  Hotel & Motel mgmt.,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,3
1578,Silver Cloud Inn - Seattle Lake Union,WA,98109-4433,"Tourist Hotel,  Budget Hotel,  Business Hotel,  Family-friendly Hotel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,3
1579,Silver Sands Beach Resort,FL,33149,"Cottages Cabins,  Resort,  Resorts,  Lodging,  Hotel Bar,  Hotel & Motel,  Motel,  Hotel",Accommodation & Food Services,1,1,2
1580,Silver Sands Oceanfront Motel,OR,97136-9596,"Lodging,  Hotel,  Motel",Accommodation & Food Services,1,2,4
1581,Silverstone Inn & Suites,ID,83854,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,10,4
1582,Simmons Suites,AR,72712,"Motel,  Hotel Bar,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,5
1583,Six South St Hotel,NH,3755,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,4
1584,Sleep Inn,KY,40509,"Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,1,1
1585,Sleep Inn,NC,28312,"Tourist Hotel,  Budget Hotel,  Business Hotel,  Family-friendly Hotel,  Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,2,4
1586,Sleep Inn,SC,29118,"Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,3,2
1587,Sleep Inn,SC,29341,"Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,2,4
1588,Sleep Inn,TN,37862,"Tourist Hotel,  Budget Hotel,  Business Hotel,  Family-friendly Hotel,  Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,1,5
1589,Sleep Inn,WV,25302,"Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,6,4
1590,Sleep Inn,WV,26651,"Lodging,  Motel,  Hotel & Motel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,1,5
1591,Sleep Inn & Suites Central/I-44,OK,74145,"Lodging,  Hotel,  Corporate Lodging,  Motel",Accommodation & Food Services,1,1,4
1592,Sleep Inn & Suites Van Buren,AR,72956,Hotel,Accommodation & Food Services,1,1,4
1593,Sleep Inn And Suites Danville,IL,61834,"Lodging,  Hotel,  Corporate Lodging,  Motel",Accommodation & Food Services,1,1,5
